i,c,n,s
1000292544,25968,MBKUASO@EC2705A,11444
1000292718,25970,MBBLOKS@EC2608A,11264
1000292660,25971,MBHESAI@EC2608A,11391
1000292602,25972,MB-TQL @EC2702A,11172
1000292545,25973,MBCSHIP@EC2608A,11337
1000292719,25974,MBPOMRT@EC2608A,11507
1000292661,25976,MB-LENS@EC2608A,11080
1000292603,25977,MBGUMIN@EC2608A,11383
1000292546,25978,MB-YOFC@EC2608B,11199
1000292716,25979,CICLIFE@EP2607C,3427
1000277309,25980,MBHUAHO@EC2607B,11401
1000292659,25981,CIGEELY@EP2607A,3476
1000292601,25982,CITENCT@EC2607C,3731
1000292543,25983,CIPOMRT@EC2608A,3670
1000227080,25984,KS-CCB @EC2812A,10725
1000227135,25985,HS-HSI @EC2612A,7127
1000292717,25986,HU-SANY@EC2609A,8003
1000292663,25987,MS-COVS@EC2610A,12117
1000292605,25988,MSKINGD@EC2608B,12477
1000292547,25990,MSTENCT@EC2607C,12606
1000292715,25991,BIHAESH@EC2610A,909
1000277202,25992,DSUBTEC@EC2606A,5039
1000292658,25993,BIALIBA@EC2608D,807
1000292600,25994,BIAKESO@EC2608A,795
1000292559,25995,BIHDLIH@EC2607A,912
1000292732,25996,BIBUDWS@EC2609A,861
1000292694,25997,JPHEGAN@EC2611A,10225
1000292636,25998,JP-CKH @EP2607A,9714
1000292568,26001,GJMTUAN@EC2610B,5762
1000292742,26003,GJTENCT@EC2607D,5804
1000292684,26004,GJPOMRT@EP2607A,5795
1000292642,26005,UBBUDWS@EC2609A,17127
1000292584,26006,UBALIBA@EC2610A,17078
1000292755,26007,UBALIBA@EC2608D,17070
1000292699,26008,UB-CUNI@EC2612A,16889
1000292641,26010,UBTENCT@EC2607D,17388
1000292583,26011,UBALIBA@EP2607C,17096
1000292739,26012,CTPOMRT@EC2608A,4624
1000292681,26013,CTPOMRT@EP2607B,4632
1000292628,26014,HSCTGDF@EC2609A,7336
1000292571,26015,HSHDLIH@EC2607A,7351
1000292744,26016,HS-CUNI@EC2612A,7094
1000292686,26017,HSTENCT@EC2607C,7531
1000292627,26018,HSTENCT@EC2607D,7532
1000292570,26019,HSKUASO@EC2607B,7399
1000292754,26020,SG-CMOB@EC2609A,14440
1000292698,26021,SG-HSI @EP2607A,14518
1000292640,26022,SG-HSI @EP2607B,14519
1000292582,26023,SGPINAN@EP2704A,14882
1000292745,26024,HU-HPE @EC2608A,7909
1000292687,26025,HUHESAI@EC2608A,8310
1000292629,26026,HU-TQL @EC2702A,8047
1000292860,26027,CTMTUAN@EC2608A,4598
1000292820,26028,HSBUDWS@EC2609A,7287
1000292902,26029,DSMTUAN@EC2608A,4988
1000292777,26030,DSMTUAN@EC2707A,4990
1000292871,26031,UBPOMRT@EP2607D,17350
1000292829,26032,UBCLIFE@EP2609A,17135
1000292912,26033,UBGEELY@EP2607A,17177
1000292787,26034,UB-HKEX@EC2706A,16911
1000292870,26035,MS-CTWR@EC2608A,12133
1000292827,26036,MSKUASO@EC2607B,12491
1000292910,26037,MS-AIA @EC2611B,12057
1000292785,26038,MSTENCT@EC2608D,12610
1000292869,26039,MSMTUAN@EC2608A,12532
1000292818,26040,CT-HSI @EP2607A,4334
1000292900,26041,CT-SHKP@EC2612A,4375
1000292775,26043,CT-HSBC@EC2608A,4308
1000292858,26044,BIXIAMI@EC2609D,1163
1000292816,26045,BIXIAMI@EP2608A,1194
1000292899,26046,BIALIBA@EC2610A,813
1000292774,26047,BIZIJIN@EC2703A,1213
1000292868,26048,MB-CGNM@EC2611A,10942
1000292819,26049,GJ-AIA @EC2607A,5555
1000292903,26050,GJZIJIN@EC2607A,5853
1000292778,26051,GJPINAN@EC2608A,5780
1000292862,26052,GJ-CCB @EC2607A,5591
1000292817,26053,CI-SHKP@EC2610A,3276
1000292915,26054,CIPOMRT@EP2607B,3679
1000292790,26055,CIKUASO@EC2607B,3550
1000292859,26056,CI-WPC @EC2609A,3318
1000292836,26057,HUCTGDF@EC2611A,8263
1000292921,26058,HUPINAN@EC2608A,8471
1000292795,26059,HU-SMIC@EC2609B,8025
1000292837,26061,HU-ICBC@EC2609A,7929
1000292924,26062,SGPOMRT@EP2607C,14902
1000292799,26063,SGTENCT@EP2608A,14952
1000292879,26064,JPZHJIN@EC2607B,10589
1000292838,26065,JPALIBA@EC2607A,10018
1000292917,26066,HSCSHIP@EC2610A,7334
1000292792,26067,HS-CLIT@EC2610A,7073
1000292874,26068,HS-CSPC@EC2609A,7087
1000292832,26069,HSMTUAN@EC2707A,7455
1000227418,26070,JP-CCB @EC2812A,9694
1000292916,26071,HSALIBA@EP2607A,7261
1000292791,26072,HSALIBA@EC2608D,7240
1000293038,26073,DS-SMIC@EC2607B,4944
1000292975,26075,BITENCT@EP2608A,1140
1000293006,26076,BIMTUAN@EC2707A,1037
1000292956,26077,UB-HSBC@EC2609C,16922
1000293050,26078,UB-HSBC@EC2611A,16925
1000292986,26079,UB-HSBC@EC2612A,16927
1000293017,26080,UBTENCT@EC2612A,17408
1000292955,26081,UBMTUAN@EC2608B,17277
1000293049,26082,UB-AIA @EC2611B,16812
1000292984,26083,MS-HSI @EC2607A,12179
1000293016,26084,MSSTANC@EC2610A,12600
1000292954,26085,MS-HSI @EC2607B,12180
1000293047,26086,MSXIAMI@EP2608A,12668
1000292983,26087,MS-HSBC@EC2612A,12171
1000293007,26088,CT-BILI@EP2608A,4226
1000292951,26090,JP-YOFC@EC2608A,9996
1000293044,26091,JPPOMRT@EC2608A,10415
1000292980,26092,JP-SANY@EC2608B,9935
1000293013,26093,JPAIRCN@EC2609A,10009
1000292952,26094,MB-PAHT@EC2608A,11119
1000293045,26095,MB-SUNY@EC2608A,11160
1000292981,26096,MBNDPHL@EC2609B,11485
1000293014,26097,MB-ZGHL@EC2611A,11205
1000292953,26098,MB-WPC @EC2608A,11182
1000293046,26099,MB-ZTO @EC2608A,11217
1000292982,26100,MBBEONE@EC2608A,11259
1000293015,26101,MBGSBIO@EC2612A,11382
1000292944,26102,GJALIBA@EC2607A,5655
1000293048,26103,SGLAOPU@EC2607A,14817
1000292985,26104,SGXPENG@EC2609A,14983
1000293022,26106,HSPOMRT@EC2608A,7483
1000292950,26107,HSYKENR@EC2611A,7604
1000293040,26108,HS-HSI @EP2607A,7131
1000293071,26109,HSMTUAN@EC2608B,7444
1000293141,26110,HSTENCT@EC2607E,7533
1000293191,26111,HSTENCT@EC2612A,7548
1000293119,26112,HSCSHEN@EC2607A,7330
1000293088,26113,MBCOWEL@EC2707A,11316
1000293158,26114,MBSNTRK@EC2608A,11534
1000293188,26115,DSALIBA@EC2608A,4954
1000293116,26116,CIMTUAN@EC2608B,3604
1000293080,26118,CIHESAI@EC2608A,3480
1000293151,26119,CIMTUAN@EC2710A,3613
1000293186,26120,CILENOV@EC2712A,3576
1000293127,26121,UBXIAMI@EP2608A,17461
1000293092,26122,UBAIRCN@EC2609A,17052
1000293159,26123,MB-HPE @EC2608A,11043
1000293197,26126,MS-WUXI@EC2611A,12278
1000293123,26127,MSALIBA@EC2607B,12309
1000293089,26128,MS-LENS@EC2608A,12208
1000293161,26129,MSTENCT@EC2608E,12611
1000293193,26130,JPSENTM@EP2607A,10451
1000293121,26131,JP-LENS@EC2608A,9880
1000293087,26132,JPHESAI@EC2608A,10226
1000293160,26133,MB-KBLH@EC2610A,11066
1000293194,26135,MB-GEG @EC2609A,11030
1000293112,26136,BI-CNBM@EC2702A,609
1000293077,26137,BIMEITU@EC2701A,1008
1000227625,26138,BI-CTWR@EC2612A,628
1000293147,26139,BIHUAHO@EC2608C,921
1000293182,26140,BI-SMIC@EC2609C,736
1000293113,26141,BIMTUAN@EP2612B,1044
1000293078,26142,BIMTUAN@EP2609C,1040
1000293148,26143,BITENCT@EC2608D,1114
1000293183,26144,BIKINGD@EC2609A,971
1000293114,26145,BIMIXUE@EC2610A,1016
1000293082,26146,CTHESAI@EC2608A,4518
1000293153,26148,CT-CATL@EP2609A,4245
1000227680,26149,SG-HSI @EC2612A,14511
1000227695,26150,MB-KECL@EC2607A,11074
1000293187,26151,CTTENCT@EC2608C,4660
1000293117,26152,CTLAOPU@EC2607A,4571
1000293083,26153,CTMTUAN@EC2612A,4601
1000293156,26154,HSHSTEC@EC2606A,7356
1000293192,26155,HS-YOFC@EC2608A,7215
1000293125,26156,SG-CNBM@EC2702A,14444
1000293381,26157,JP-AIA @EC2611B,9647
1000293330,26158,CI-HPE @EC2608A,3203
1000293283,26161,CI-CCVH@EC2611A,3134
1000293236,26162,CIKSCLD@EC2610B,3544
1000293378,26163,CI-HKEX@EC2611A,3198
1000293331,26164,CICLIFE@EC2607A,3419
1000293289,26165,JPCSHIP@EC2610A,10169
1000293391,26167,UBTENCT@EC2608C,17391
1000293332,26169,GJTENCT@EC2608B,5806
1000293284,26171,GJMTUAN@EC2608B,5759
1000293237,26173,CT-HSBC@EC2612A,4311
1000293388,26174,JPMTUAN@EC2612A,10363
1000293333,26175,HS-KBLH@EC2608A,7139
1000293285,26176,HS-LEAP@EC2608A,7148
1000293238,26177,HSLENOV@EC2712A,7423
1000293390,26178,SG-SHKP@EC2611A,14579
1000293344,26179,SG-HSBC@EC2612A,14494
1000293431,26180,BIBEONE@EC2608A,857
1000293463,26181,BI-GWMC@EC2611A,638
1000293408,26182,BIMTUAN@EC2609A,1026
1000293501,26183,BIMTUAN@EC2610B,1028
1000293484,26185,UBPOMRT@EC2608A,17340
1000293410,26186,BPMTUAN@EC2610A,2147
1000293504,26188,HS-HKEX@EC2812A,7117
1000293441,26189,HSTENCT@EC2608A,7534
1000293474,26190,HSZIJIN@EC2607B,7606
1000293420,26192,MSMTUAN@EP2609A,12541
1000293512,26193,MS-HSI @EP2607A,12186
1000293450,26194,JP-HSBC@EC2611A,9809
1000293481,26195,JPTENCT@EC2612A,10498
1000293419,26196,JP-HSBC@EC2609B,9806
1000293511,26197,JP-CNBM@EC2702A,9730
1000293445,26198,JP-HKEX@EC2611A,9792
1000293541,26200,JPTENCT@EC2608A,10481
1000293617,26201,JPTENCT@EC2608B,10482
1000293580,26202,UB-HKEX@EC2611A,16908
1000293656,26203,CTALIBA@EC2608C,4428
1000293539,26204,BI-HKEX@EC2611A,643
1000293620,26205,BI-HSBC@EC2611A,660
1000293581,26206,BIYKENR@EC2611A,1209
1000293658,26207,BICSHIP@EC2610A,890
1000293548,26208,MB-BILI@EC2608A,10927
1000293626,26209,MBBAIDU@EC2609B,11256
1000293587,26210,JPMTUAN@EC2710A,10367
1000293663,26211,JPALIBA@EC2608D,10024
1000293546,26213,CIBYDEI@EC2608A,3406
1000293624,26214,CI-TRIP@EP2607A,3313
1000293585,26215,CIMTUAN@EC2612B,3609
1000293662,26216,CITENCT@EC2608B,3733
1000293547,26217,HSALIBA@EC2609B,7244
1000227964,26218,JPTENCT@EC2812A,10508
1000227950,26219,JP-HKEX@EC2812A,9797
1000227928,26220,JPALIBA@EC2812A,10042
1000293625,26221,HSPOMRT@EC2608B,7484
1000293586,26222,HSTENCT@EP2608A,7561
1000293665,26223,MSALIBA@EC2609B,12317
1000293550,26225,MSROBSN@EC2608A,12579
1000293627,26226,MSALIBA@EC2607C,12310
1000293588,26227,MSTENCT@EC2608F,12612
1000293664,26228,MSHESAI@EC2608A,12434
1000293549,26230,MSPOMRT@EC2608A,12567
1000293621,26231,BPTENCT@EC2608A,2209
1000293582,26232,BPTENCT@EC2608B,2210
1000293667,26233,BPMTUAN@EC2612C,2151
1000293558,26234,SGKINGD@EC2609A,14798
1000293636,26235,SGTENCT@EC2608C,14931
1000293597,26236,SGALIBA@EC2608D,14647
1000293675,26237,SG-HSI @EC2701A,14515
1000293865,26238,MB-SHKP@EC2610A,11147
1000293808,26240,GJ-HSBC@EC2611A,5613
1000293701,26241,GJ-CATL@EP2608A,5586
1000293754,26242,CTCTGDF@EC2702A,4498
1000293862,26243,CTCP&CC@EC2607A,4487
1000293806,26244,BPTENCT@EP2608A,2242
1000293699,26245,BPALIBA@EP2609B,2021
1000293752,26246,BPMTUAN@EP2612B,2164
1000293861,26247,BPXIAMI@EP2609A,2276
1000293807,26249,BPALIBA@EC2608C,2001
1000293700,26250,BP-HSBC@EC2611A,1915
1000293753,26252,BPTENCT@EC2608C,2211
1000293866,26253,MSALIBA@EP2609A,12335
1000293811,26254,MS-SHKP@EP2610A,12260
1000293702,26255,HSHESAI@EC2608A,7353
1000293755,26256,HSALIBA@EC2608E,7241
1000293863,26257,HS-HKEX@EC2611A,7113
1000293812,26258,UBTENCT@EC2608D,17392
1000293704,26259,UBTENCT@EC2608E,17393
1000293758,26260,UBMTUAN@EC2612B,17289
1000293867,26261,UBMTUAN@EC2710A,17295
1000293813,26262,UBALIBA@EC2607D,17065
1000293705,26263,UBALIBA@EC2608E,17071
1000293757,26264,JPCTGDF@EC2609A,10173
1000293864,26265,JPZJGLD@EP2607B,10610
1000293810,26266,JPZIJIN@EC2608A,10594
1000293714,26267,JPALIBA@EC2608E,10025
1000293768,26268,JP-ICBC@EC2609A,9857
1000293877,26269,JPKSCLD@EC2610B,10293
1000293821,26270,JPZJGLD@EC2607E,10605
1000293715,26271,JPHAESH@EC2610A,10220
1000293760,26273,CIMTUAN@EP2610A,3618
1000293869,26274,CI-GEG @EC2609A,3187
1000293828,26276,SG-CATL@EP2608A,14424
1000293722,26277,SGCTGDF@EC2609B,14741
1000293763,26278,HU-LENS@EC2608A,7954
1000293873,26281,HUGUMIN@EC2608A,8302
1000228318,26283,KS-ICBC@EC2812A,10729
1000293817,26285,HUCSHIP@EC2609B,8255
1000293710,26286,HU-CGNM@EC2610A,7813
1000293764,26287,HU-KBLH@EC2609A,7938
1000293874,26288,HULININ@EC2612A,8418
1000293818,26289,HUSNTRK@EC2609A,8517
1000293711,26291,HU-YOFC@EC2608A,8075
1000293765,26295,HU-CGS @EC2610A,7816
1000293875,26296,HU-TTI @EC2702A,8055
1000293819,26298,HUMTUAN@EC2608A,8440
1000293719,26299,JPSCHLD@EC2608A,10443
1000293772,26300,JPNDPHL@EC2612A,10379
1000294046,26301,MSTENCT@EC2608G,12613
1000293962,26302,JPTENCT@EC2608C,10483
1000293999,26303,BPMTUAN@EC2608C,2145
1000293908,26304,CIKINGD@EC2611A,3539
1000294041,26305,CIMEITU@EC2608B,3591
1000293957,26306,CIPINAN@EC2703A,3663
1000294007,26307,CICNOOC@EC2609A,3436
1000293909,26308,BI-HSBC@EC2611B,661
1000294049,26309,CIMTUAN@EC2608C,3605
1000293966,26310,GJTENCT@EP2608A,5827
1000294009,26311,DS-HSBC@EC2611A,4938
1000293910,26312,MS-CNBM@EC2609A,12112
1000294061,26314,MSMEITU@EC2701A,12522
1000293977,26316,MB-HSPG@EC2609A,11047
1000294016,26317,JPINBIO@EC2607A,10258
1000293911,26318,JPALIBA@EP2607B,10047
1000294056,26319,JPMTUAN@EC2612B,10364
1000293973,26320,JP-TRIP@EC2607C,9971
1000294017,26321,JP-CATL@EP2608A,9686
1000293912,26322,MBCMOLY@EP2609A,11308
1000294050,26323,CTMTUAN@EC2608B,4599
1000293965,26325,CTMEITU@EC2701A,4588
1000294008,26326,CTALIBA@EC2608D,4429
1000293913,26327,MBPHANC@EC2702A,11499
1000294060,26328,MB-WHG @EC2702A,11180
1000293980,26330,UB-GEG @EC2609A,16896
1000294022,26333,UBTENCT@EP2608A,17423
1000293914,26334,UB-ICBC@EC2609A,16974
1000294063,26336,UBZIJIN@EC2607B,17479
1000293968,26337,HU-CCVH@EC2611A,7810
1000294011,26338,HUBLOKS@EC2608A,8181
1000293916,26339,HU-CLP @EC2609A,7827
1000294051,26340,HU-PWRA@EC2701A,8002
1000293969,26341,HU-SHKP@EC2611A,8020
1000294012,26342,HUSCHLD@EC2607A,8501
1000293917,26343,HUCRAIL@EC2612A,8240
1000294052,26346,HUASMPT@EC2611A,8155
1000293970,26347,HUCKINF@EC2611A,8210
1000294013,26348,HUZHIST@EC2611A,8608
1000293918,26349,HUYKENR@EC2611A,8602
1000294053,26350,HU-CNBM@EC2702A,7845
1000293979,26351,SGZIJIN@EC2703A,14996
1000294021,26352,SGMIXUE@EC2610A,14840
1000293922,26353,SGALIHI@EC2704A,14668
1000294062,26354,SG-SMIC@EC2609B,14588
1000293978,26355,SGBAIDU@EC2703A,14693
1000294020,26356,JP-HSI @EP2608A,9841
1000293919,26358,JP-HSI @EC2608A,9823
1000294059,26359,JP-HSI @EP2608B,9842
1000277230,26360,HU-XYS @EC2612A,8074
1000293976,26361,JP-HSI @EC2608B,9824
1000294176,26362,CT-HSBC@EP2607B,4316
1000294085,26363,MB-DFEC@EC2703A,11014
1000294146,26364,MB-KBLH@EC2609A,11065
1000294116,26365,MBCSHIP@EC2609A,11338
1000294178,26366,MBASMPT@EC2609A,11245
1000294086,26367,MB-TMEG@EC2612A,11170
1000294147,26368,MBMOBVI@EC2609A,11476
1000294115,26370,JPALIHI@EC2704A,10056
1000294177,26371,JPMEITU@EC2701A,10341
1000294084,26374,JP-SHKP@EC2611A,9945
1000294144,26375,BP-TRIP@EC2607C,1980
1000294124,26376,BPZIJIN@EC2607A,2287
1000294191,26377,HUHRPHA@EC2702A,8316
1000294100,26378,HUHLAND@EC2701A,8315
1000294163,26379,HUTENCT@EC2608B,8539
1000294132,26380,HUJDCOM@EP2609A,8354
1000277278,26382,HUCOWEL@EC2610A,8231
1000294192,26383,MSXIAMI@EC2607B,12651
1000294092,26384,BICRAIL@EC2609B,885
1000294152,26385,BIXIAMI@EC2609E,1164
1000294123,26387,BI-WPC @EC2609A,781
1000294188,26389,GJ-HSI @EC2606A,5620
1000294104,26390,SGCSHIP@EC2609A,14739
1000294166,26391,SGCFJLG@EC2612A,14711
1000294131,26392,HS-CATL@EP2608A,7062
1000294190,26393,HS-ICBC@EC2609A,7137
1000294099,26394,HSTENCT@EC2608B,7535
1000294162,26398,HS-CNBM@EC2702A,7080
1000228670,26399,JP-ICBC@EC2812A,9858
1000294136,26400,UB-TRIP@EC2607A,17037
1000294196,26401,UBINBIO@EC2607A,17197
1000294105,26402,UB-CATL@EP2609A,16853
1000294157,26403,CI-ACMT@EC2609A,3086
1000294127,26404,CICMOLY@EC2607A,3430
1000294351,26405,SG-HSBC@EP2609C,14500
1000294206,26406,GJ-HSBC@EP2609C,5618
1000294254,26407,JPFOPHA@EC2608A,10190
1000294307,26408,UBALIBA@EP2609B,17099
1000294357,26410,UBALIBA@EP2608A,17097
1000294212,26411,UB-SHKP@EC2611A,17012
1000228674,26413,SGZCRRC@EC2612A,14991
1000294260,26414,UBCMOLY@EC2607A,17138
1000294308,26415,UBSTANC@EC2610A,17379
1000294350,26416,BIJDCOM@EP2609A,962
1000294205,26417,BI-SMIC@EP2609D,755
1000294253,26418,BITENCT@EC2608E,1115
1000294309,26420,BI-CATL@EP2608A,581
1000294361,26421,CI-CMB @EC2607A,3150
1000294214,26422,CI-CCB @EC2812A,3131
1000294265,26423,GJ-HKEX@EC2611A,5602
1000294315,26424,GJTENCT@EC2608C,5807
1000294364,26425,GJ-HSBC@EC2608A,5610
1000294225,26426,MSCTGDF@EC2702A,12411
1000294273,26427,MS-SHKP@EC2610A,12258
1000294310,26428,BP-ICBC@EC2609A,1930
1000294358,26429,BPALIHI@EC2704A,2027
1000294216,26430,CTNDPHL@EC2612A,4610
1000294264,26432,CTGEELY@EC2609A,4508
1000294314,26434,CT-TRIP@EC2609A,4394
1000294362,26435,CTJDCOM@EC2612A,4543
1000294217,26436,CT-CATL@EC2612B,4242
1000294269,26437,HU-DFEC@EC2704A,7881
1000294318,26438,HUCOWEL@EC2707A,8232
1000294366,26439,HUCITIC@EC2703A,8207
1000294221,26440,HU-HUAP@EC2701A,7926
1000277195,26441,HUPOMRT@EP2609A,8487
1000294270,26442,HUBOCHK@EC2610A,8185
1000277244,26443,HULENOV@EC2611A,8406
1000294319,26444,HUCSHST@EC2611A,8258
1000294369,26445,MB-HWLD@EC2609A,11052
1000294220,26446,HS-DFEC@EC2612A,7096
1000228789,26447,SGCRAIL@EC2609A,14736
1000294266,26448,HS-TRIP@EC2607B,7200
1000277293,26449,HULENOV@EC2606A,8403
1000294317,26450,HS-SHKP@EC2610A,7170
1000294368,26451,JPHZROB@EC2610A,10255
1000294223,26452,JPLENOV@EP2608A,10326
1000294276,26453,SG-GEG @EC2609A,14466
1000228859,26454,CI-CTWR@EC2612A,3175
1000294324,26455,SG-CATL@EC2607A,14416
1000294373,26457,SGSTANC@EC2610A,14920
1000294224,26459,JPBYDEI@EC2609A,10100
1000294414,26460,JPTENCT@EP2609A,10513
1000294451,26461,JP-WPC @EC2609A,9983
1000294526,26462,JP-CKH @EC2609A,9712
1000294496,26464,UBMTUAN@EC2608C,17278
1000294421,26465,UB-HSI @EC2608A,16944
1000294459,26466,UB-HSI @EC2608B,16945
1000294535,26468,UB-HSI @EP2608A,16961
1000294497,26469,UB-HSI @EP2608B,16962
1000294422,26470,UBTENCT@EC2809A,17418
1000294454,26471,MBBLKSM@EC2609A,11262
1000294528,26473,MBAIRCN@EC2612A,11221
1000294490,26474,MB-CRL @EC2609A,10993
1000294417,26475,MBTENCT@EP2609A,11554
1000294455,26476,MB-GEG @EP2609A,11032
1000294527,26477,MB-TRIP@EC2609A,11174
1000294491,26478,MB-SHKP@EP2610A,11149
1000294415,26479,JPKINGB@EC2609A,10274
1000294452,26480,JPALIBA@EC2608F,10026
1000294529,26481,MB-CATL@EP2609A,10936
1000294486,26482,HS-GEG @EC2609A,7104
1000294411,26483,HS-SHKP@EP2610A,7172
1000294456,26484,MSTENCT@EP2608B,12636
1000294531,26485,MSKUASO@EP2609A,12499
1000294483,26486,BI-HSBC@EP2609B,670
1000294409,26487,BIJDCOM@EC2612A,961
1000294444,26488,BIPINAN@EC2703A,1074
1000294520,26490,BI-TRIP@EP2609A,778
1000294482,26491,BI-HSI @EP2608A,685
1000277194,26492,HUINBIO@EC2612A,8339
1000294408,26493,BI-HSI @EC2608A,674
1000294445,26494,BPTENCT@EP2609A,2243
1000294533,26495,SG-HSI @EP2608A,14520
1000294494,26496,SG-HSI @EP2608B,14521
1000294419,26497,SGTENCT@EC2608D,14932
1000294458,26498,SGALIBA@EC2608E,14648
1000294534,26499,SGXIAMI@EC2607A,14964
1000294495,26500,SGPINAN@EC2703A,14878
1000294420,26501,SG-SHKP@EP2610A,14581
1000294446,26502,CTTENCT@EP2609A,4672
1000294522,26503,CT-SHKP@EP2609A,4376
1000294484,26504,CIJDCOM@EC2609A,3520
1000294410,26505,CIBOCHK@EC2610A,3405
1000294448,26506,HU-HKEX@EC2611A,7904
1000294523,26507,HU-ZGHL@EC2702A,8084
1000294487,26508,HUMTUAN@EC2608B,8441
1000294413,26510,HU-HSPG@EC2609A,7925
1000294449,26512,HU-CSC @EC2610A,7864
1000294524,26513,HUBAIDU@EP2612A,8175
1000294489,26514,HU-WHG @EC2702A,8058
1000294416,26515,JP-DFEC@EC2612A,9758
1000294453,26516,JP-HPE @EC2708A,9802
1000294695,26517,JPALIBA@EC2607B,10019
1000294558,26518,CIALIBA@EC2608C,3357
1000294754,26519,CITENCT@EC2608C,3734
1000294630,26520,MB-CKA @EC2611A,10959
1000277243,26521,HUJIANC@EC2607A,8356
1000294689,26522,DSALIBA@EC2608B,4955
1000294571,26523,UB-CKH @EC2609A,16866
1000294767,26524,UB-HSBC@EC2609D,16923
1000294638,26525,UBXIAMI@EC2609C,17442
1000294703,26526,UBMTUAN@EC2609A,17279
1000294572,26527,UBMTUAN@EC2610C,17282
1000294768,26528,UBMTUAN@EC2612C,17290
1000294632,26530,MSMTUAN@EC2608B,12533
1000294697,26531,MS-HSBC@EC2609C,12168
1000294566,26532,MS-HSI @EC2608A,12181
1000294762,26534,MS-HSI @EP2608A,12187
1000294633,26535,MS-HSI @EP2608B,12188
1000294698,26536,MSCFJLG@EC2612A,12376
1000294565,26537,MS-HSBC@EC2608A,12165
1000294769,26538,UBALIBA@EC2608F,17072
1000294639,26541,UBALIBA@EC2607E,17066
1000294704,26542,UBCNOOC@EC2609A,17142
1000294573,26544,UBALIBA@EC2609B,17074
1000294761,26545,MBCNOOC@EC2609A,11309
1000294631,26547,MB-COSL@EC2610A,10981
1000294696,26548,JPKSOFT@EC2609B,10295
1000294564,26549,JP-GEG @EC2609A,9778
1000294755,26550,GJPINAN@EC2612A,5782
1000294651,26552,GJALIBA@EC2608C,5659
1000294715,26553,GJJDCOM@EC2612A,5727
1000294584,26554,GJMTUAN@EC2608C,5760
1000294770,26555,BIXIAMI@EC2609F,1165
1000294640,26556,BIXIAMI@EC2610A,1167
1000294705,26557,BIMTUAN@EC2612B,1033
1000294574,26558,BIMTUAN@EP2610A,1041
1000294771,26559,BI-SMIC@EC2610D,741
1000294641,26560,BICPAIR@EC2609A,883
1000294707,26561,BI-CSPC@EC2611A,622
1000294576,26562,BIALIBA@EC2608E,808
1000294772,26563,BI-CKH @EC2609B,593
1000294642,26564,BIBYDEI@EC2608A,862
1000294706,26565,BIALUCO@EC2610A,842
1000294575,26567,BI-AAC @EC2609A,537
1000294778,26568,CT-SUNY@EC2608A,4388
1000294649,26569,CTBAIDU@EC2606B,4451
1000229319,26570,SG-CRCC@EC2607A,14445
1000294714,26571,CTPINAN@EC2703A,4621
1000294583,26573,CTALIBA@EC2608E,4430
1000294779,26574,CTASMPT@EC2608A,4448
1000294650,26575,CTCLIFE@EC2609A,4470
1000294717,26577,HSCSAIR@EC2612A,7328
1000294586,26578,HSALIBA@EC2609C,7245
1000294780,26579,HSXIAMI@EC2609C,7578
1000294647,26580,CISCHLD@EC2608A,3696
1000294712,26581,CIAIRCN@EC2611A,3345
1000294582,26582,CICNOOC@EP2609A,3441
1000294777,26583,CIYKENR@EC2701A,3819
1000294648,26584,CICCOAL@EC2701A,3417
1000294713,26585,CI-COSL@EC2701A,3160
1000294595,26587,JPCTGDF@EC2609B,10174
1000294789,26588,JP-SUNY@EC2608A,9958
1000294660,26589,SG-HSI @EC2608A,14505
1000294725,26590,SG-HSI @EC2608B,14506
1000294596,26591,SG-SMIC@EC2611A,14591
1000294790,26595,SG-SMIC@EC2609C,14589
1000294661,26598,SGKUASO@EC2704A,14814
1000294726,26600,SGMTUAN@EC2608B,14849
1000294587,26601,HSPETCH@EC2607B,7462
1000294781,26603,HSMTUAN@EC2608C,7445
1000294652,26604,HSALIBA@EC2608F,7242
1000294709,26605,BPXIAMI@EC2609C,2260
1000294578,26606,BP-HSI @EC2608A,1923
1000294774,26608,BP-HSI @EP2608A,1927
1000294644,26609,BP-HSI @EP2607A,1926
1000294710,26610,BP-HKEX@EC2611A,1905
1000294579,26611,BP-BOCL@EC2610A,1847
1000294621,26612,BPSENTM@EC2609A,2196
1000294687,26613,BPBOCHK@EC2610A,2044
1000294555,26614,BPALIBA@EC2610A,2006
1000294998,26615,MSSPDRG@EC2607B,12595
1000294881,26616,CT-HSI @EC2608A,4323
1000294934,26617,CT-HSI @EC2608B,4324
1000294830,26618,MS-TRIP@EC2608A,12270
1000294999,26619,MSCSHIP@EC2609A,12404
1000294886,26620,MS-YOFC@EC2609A,12286
1000294936,26621,GJPOMRT@EC2606C,5788
1000294826,26622,GJBYDEI@EC2608A,5688
1000294994,26623,GJXPENG@EC2609A,5850
1000294883,26624,GJLENOV@EC2609A,5743
1000294940,26625,MBKINGD@EC2610A,11431
1000294825,26626,DSMTUAN@EC2612A,4989
1000294993,26627,DSMTUAN@EC2710A,4991
1000294888,26628,UBZIJIN@EC2608A,17480
1000294943,26629,UB-SUNY@EC2608A,17033
1000294819,26631,BI-HSBC@EC2608B,652
1000294986,26632,BI-HSI @EC2608B,675
1000294875,26633,BI-HSI @EP2608B,686
1000294941,26634,MBXJGST@EC2610A,11581
1000294820,26635,BIXIAMI@EC2610B,1168
